playa,pueblo_magico,entretenimiento,restaurantes,camping,paseos,zona_arq,deportes
Puerto Peñasco,Alamos,Museo Rincon de la Mora,Palominos,The Reef RV Park,Estero del Soldado,Cerro de Trincheras,"Ciclismo de montaña, El Pinacate"
Punta Arenas,Magdalena de Kino,Planetario de Cajeme Antonio Sanchez Ibarra,Bermejo,El Tecolote,El Pinacate,,"Snadboarding, Puert Peñasco"
Isla Tiburon,,Museo Ferrocarrilero de Empalme (MUFER),Mochomos Fusion Sonorense,Totonaka RV Park,Perlas del Mar Cortés,,"Kayaking, Guaymas"
Bahía de Kino,,Museo de Arte de Sonora (MUSAS),Swiss Haus,Concha del Mar RV Park,Cocorit,,
El Himalaya,,,Sonora Steak,El Novillo,Ciudad Obregón,,
Isla San Pedro Nolasco,,,,,,,
Bahia de San Carlos,,,,,,,
Los Algodones,,,,,,,
Puerto de Guaymas,,,,,,,
,,,,,,,